Product Name,Price,Rating,No. of Reviews,Product Url
"uppercase Medium 23L Tall Boy Laptop Backpack 2500EBP1 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","? 1,550",4.0 out of 5 stars,28,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A09140571WW1AROGYOWWI&url=%2Fuppercase-Backpack-2500EBP1-repellent-sustainable%2Fdp%2FB0B81YTTWS%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dbags%26qid%3D1663867110%26sr%3D8-1-spons%26psc%3D1&qualifier=1663867110&id=7134484598509737&widgetName=sp_atf
uppercase Medium 19L Laptop Backpack 1800EBP1 Printed Compact 3x more water repellent sustainable bags with rain proof zippers (Blue),"? 1,100",4.2 out of 5 stars,5,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A016865923S1HPDFXMMHW&url=%2Fuppercase-Backpack-1800EBP1-repellent-sustainable%2Fdp%2FB0B9T7PD7T%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dbags%26qid%3D1663867110%26sr%3D8-2-spons%26psc%3D1&qualifier=1663867110&id=7134484598509737&widgetName=sp_atf
American Tourister 32 Ltrs Grey Casual Backpack (AMT FIZZ SCH BAG 02 - GREY),? 799,4.1 out of 5 stars,"46,676",https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGBVC/ref=sr_1_3?keywords=bags&qid=1663867110&smid=AXOGFIT0PZZ7G&sr=8-3
Half Moon 35 L Casual Waterproof Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with Rain Cover (18 Inch) (Navy),? 799,3.9 out of 5 stars,"12,909",https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_omk_4?keywords=bags&qid=1663867110&sr=8-4
Lunar's Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty,? 899,3.9 out of 5 stars,"7,935",https://www.amazon.in/Lunars-Bingo-Laptop-Resistant-48L/dp/B08YZ8FFBZ/ref=sr_1_5?keywords=bags&qid=1663867110&smid=A3RXEJKPWRVCLY&sr=8-5
"POLESTAR Vintage 32 L College/ School/ Office/ Casual/ Travel Backpack with 15.6"" laptop compartment, suitable for both men & women,1 year warranty",? 660,4.0 out of 5 stars,"7,044",https://www.amazon.in/POLESTAR-Vintage-Laptop-Backpack-bagpack/dp/B081GSQ9D9/ref=sr_1_6?keywords=bags&qid=1663867110&sr=8-6
"Mi Step Out 12 L Mini Backpack (Small Size, Dark Blue, Water Repellant)",? 149,4.2 out of 5 stars,"4,203",https://www.amazon.in/Step-Backpack-Small-Water-Repellant/dp/B088XH1BP7/ref=sr_1_7?keywords=bags&qid=1663867110&smid=A14CZOWI0VEHLG&sr=8-7
Martucci 15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack(Black),? 632,4.0 out of 5 stars,"5,355",https://www.amazon.in/Martucci-Casual-Travelling-Laptop-Backpack/dp/B088B4P6ZW/ref=sr_1_8?keywords=bags&qid=1663867110&sr=8-8
Skybags Brat Black 46 Cms Casual Backpack,? 599,4.1 out of 5 stars,"2,136",https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_9?keywords=bags&qid=1663867110&smid=AXOGFIT0PZZ7G&sr=8-9
"TRUE HUMAN Emperor Anti-Theft backpack With USB charging Port and anti -theft back pocket Laptop bag ,office bag college bags",? 699,3.9 out of 5 stars,962,https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_10?keywords=bags&qid=1663867110&sr=8-10
